Subject_ID,excluded,trials_total,chose_diatonic,chose_chromatic,%_diatonic,%_chromatic,rt_diatonic,rt_chromatic,rt,rt_diatonic:average,rt_chromatic:average,pressed_button1,pressed_button2
SVG0050,False,100,62,38,0.62,0.38,1189.4772580576941,1391.407894742626,1266.2108999979682,0.9393990037991323,1.0988753095908894,58,42
SVG0052,False,100,52,48,0.52,0.48,2281.7523076923567,2815.500729166712,2537.951550000047,0.8990527449951967,1.1093595262552036,56,44
SVG0053,False,100,50,50,0.5,0.5,2386.4242999998805,2775.4536000000126,2580.9389499999465,0.9246341530085126,1.0753658469914873,58,42
SVG0056,False,100,59,41,0.59,0.41,1272.046949152989,1190.2990243903434,1238.5303000003044,1.0270616303474178,0.9610576538903012,47,53
SVG0057,False,100,58,42,0.58,0.42,1965.1184482768335,2423.15047618953,2157.491900000166,0.9108346818250777,1.1231330584320356,60,40
SVG0058,False,100,45,55,0.45,0.55,7142.881111120288,4078.9300000062212,5457.708000007551,1.308769379217504,0.7473705079129513,47,53
SVG0060,False,100,51,49,0.51,0.49,1808.8525490186078,2523.470408164675,2159.0153000001806,0.8378136778458478,1.1688061720379952,45,55
SVG0061,False,100,64,36,0.64,0.36,1277.1076562526105,986.1218055569528,1172.3527500021737,1.0893544253214253,0.8411476883174662,38,62
SVG0062,False,100,62,38,0.62,0.38,791.9482258071018,846.7046052633362,812.755650000471,0.9743989178132972,1.0417701867256728,44,56
SVG0063,False,100,61,39,0.61,0.39,979.6781147544799,1277.1514102552678,1095.6926999997872,0.8941175885854402,1.1656109511868755,35,65
SVG0066,False,100,51,49,0.51,0.49,1665.6371568629024,3062.172857142886,2349.9396500000944,0.7087999714643036,1.3030857439861332,51,49
SVG0067,False,100,66,34,0.66,0.34,1686.3049999960683,2105.1082352984367,1828.6980999988737,0.922134167469801,1.1511513219703862,48,52
SVG0070,False,100,58,42,0.58,0.42,12638.536982757176,14271.987857144632,13324.586349999907,0.9485125204473807,1.0711017574774269,28,72
SVG0071,False,100,84,16,0.84,0.16,952.1960119066838,1615.7987499973387,1058.3724500011886,0.8996795144333306,1.5266825492250145,52,48
SVG0074,False,100,79,21,0.79,0.21,1794.6362658236264,4369.93642857265,2335.4493000009215,0.768432980250489,1.871133074295779,51,49
